P1,P2,P3,Fx,Fy,Fz,thetaX,thetaY,d,X,Y,Z
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.004172369,0.09517126,0.004119088,0.019747697,-0.000750823,0.177759053
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.011074734,0.09662848,0.004127362,0.02066406,-0.002489071,0.177641529
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.016593358,0.09794865,0.004150856,0.02148467,-0.003945947,0.177528122
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.0212294,0.09922996,0.004174431,0.022221038,-0.005175824,0.17742322
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.02514174,0.10041134,0.004198327,0.022883009,-0.006221364,0.177328474
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.028245324,0.10128014,0.004222143,0.023478971,-0.007116061,0.177244039
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.030934138,0.10216365,0.004247939,0.024016099,-0.00788631,0.177169306
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.033203766,0.10297149,0.004276515,0.024500582,-0.008553045,0.177103336
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.03514238,0.103715196,0.004305898,0.024937802,-0.009132994,0.177045091
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.03682554,0.10436507,0.004332758,0.025332485,-0.009639633,0.176993559
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.03818634,0.104851864,0.004358978,0.025688811,-0.010083914,0.176947819
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.03938806,0.10531311,0.004383202,0.026010506,-0.010474809,0.176907058
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.040345516,0.10573938,0.004411451,0.026300902,-0.010819735,0.176870578
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.041155256,0.106134646,0.004439372,0.026562999,-0.01112487,0.176837789
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.041875865,0.10650168,0.004464611,0.026799499,-0.011395399,0.176808193
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.042518135,0.10684079,0.004487383,0.027012846,-0.011635704,0.176781377
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.043091334,0.1071528,0.004507891,0.027205249,-0.011849514,0.176756994
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.043594018,0.10740564,0.004525149,0.027378712,-0.012040023,0.176734757
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.044042252,0.10763285,0.004540484,0.02753505,-0.012209979,0.176714425
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.04444344,0.107840724,0.00455424,0.027675907,-0.012361759,0.176695793
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,0.04480275,0.10803038,0.00456656,0.027802777,-0.01249743,0.176678692
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.04512474,0.108203,0.004577578,0.027917012,-0.012618796,0.176662973
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.04019004,0.09907682,0.004056697,0.024890703,-0.011139825,0.176369392
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.035161193,0.08991396,0.003546118,0.021848459,-0.00958612,0.176116302
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.030569335,0.08144554,0.003088774,0.019166345,-0.008191498,0.17584593
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.026399242,0.07374471,0.002699146,0.016890569,-0.006993195,0.175563358
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.022490354,0.066896275,0.002396995,0.014992697,-0.005981325,0.175283273
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.018945107,0.060812976,0.002177664,0.0134254,-0.005134099,0.175017609
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.016023664,0.05545665,0.001981173,0.012138936,-0.004427957,0.174773784
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.013579727,0.050873425,0.001814652,0.011087024,-0.003840878,0.174555384
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.011660527,0.04659066,0.001666695,0.010228927,-0.003353428,0.174363262
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.010081456,0.04310733,0.001541673,0.00952989,-0.00294894,0.174196532
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.008778344,0.040265545,0.001437869,0.008960826,-0.002613346,0.174053311
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.007692849,0.037939936,0.00135271,0.008497683,-0.002334875,0.173931235
-16708.74661,-4277.04336,1235.939156,20.3030303,19.6969697,18.78787879,0.00667686,0.03592293,0.001281128,0.008120725,-0.002103731,0.173827794
